Country,Year,Quarter,Wildlife Population,Deforestation Rate,Avg. Temperature (°C),Avg. Humidity (%)
13,2019,1,0.5000000000000002,0.49999999999999994,0.8888888888888893,0.6500000000000004
9,2018,4,0.2083333333333337,0.6666666666666665,0.6111111111111116,0.20000000000000107
8,2020,4,0.41666666666666674,0.49999999999999994,0.3888888888888893,0.23000000000000043
14,2021,2,0.5000000000000002,0.8333333333333333,0.2222222222222232,0.7400000000000002
9,2019,2,0.2916666666666672,0.6666666666666665,0.8055555555555562,0.5800000000000001
14,2015,4,0.5000000000000002,0.8333333333333333,0.27777777777777857,0.16999999999999993
12,2018,1,0.5416666666666667,0.3333333333333333,0.2222222222222232,0.02000000000000135
9,2021,3,0.2500000000000002,0.6666666666666665,0.8055555555555562,0.8100000000000005
1,2016,2,0.04166666666666674,0.6666666666666665,0.6111111111111116,0.5800000000000001
5,2020,4,0.8333333333333337,1.0,0.5833333333333339,0.7099999999999991
15,2017,2,0.2916666666666672,0.3333333333333333,0.4722222222222223,0.27999999999999936
15,2015,1,0.2500000000000002,0.3333333333333333,0.5833333333333339,0.05000000000000071
13,2015,2,0.5000000000000002,0.49999999999999994,0.666666666666667,0.5099999999999998
2,2020,1,0.2916666666666672,0.16666666666666663,0.44444444444444464,0.2400000000000002
0,2017,3,0.5000000000000002,0.49999999999999994,0.3888888888888893,0.05000000000000071
1,2016,1,0.0833333333333337,0.6666666666666665,0.6111111111111116,0.27000000000000135
2,2018,3,0.2916666666666672,0.16666666666666663,0.2222222222222232,0.9800000000000004
0,2022,3,0.45833333333333326,0.49999999999999994,0.08333333333333393,0.4800000000000004
4,2021,1,0.5833333333333337,0.16666666666666663,0.8055555555555562,0.09999999999999964
12,2015,4,0.5416666666666667,0.3333333333333333,0.5277777777777777,0.6799999999999997
12,2022,3,0.5000000000000002,0.3333333333333333,0.5000000000000009,0.5200000000000014
12,2019,2,0.5416666666666667,0.3333333333333333,0.6111111111111116,0.7700000000000014
7,2021,2,0.9166666666666667,0.8333333333333333,0.5277777777777777,0.6300000000000008
12,2019,1,0.5416666666666667,0.3333333333333333,0.25,0.7300000000000004
3,2022,1,0.0833333333333337,0.0,0.3611111111111116,0.040000000000000924
5,2021,3,0.8333333333333337,1.0,0.7500000000000009,0.09999999999999964
2,2018,1,0.2916666666666672,0.16666666666666663,0.5833333333333339,0.22000000000000064
15,2022,1,0.2500000000000002,0.3333333333333333,0.30555555555555536,0.8900000000000006
1,2020,3,0.04166666666666674,0.6666666666666665,0.5000000000000009,0.3000000000000007
1,2015,4,0.04166666666666674,0.6666666666666665,0.5833333333333339,0.2599999999999998
5,2020,1,0.7916666666666672,1.0,0.5277777777777777,0.16000000000000014
1,2017,4,0.0833333333333337,0.6666666666666665,0.8611111111111116,0.120000000000001
14,2018,1,0.41666666666666674,0.8333333333333333,0.30555555555555536,0.0600000000000005
0,2017,2,0.5000000000000002,0.49999999999999994,0.44444444444444464,0.07000000000000028
