Country,Year,Quarter,Wildlife Population,Deforestation Rate,Avg. Temperature (°C),Avg. Humidity (%),Outbreak Occurred (0/1)
Brazil,2015,Q1,0.58,0.5,26.9,86.2,0
Brazil,2015,Q2,0.59,0.5,27.3,88.7,0
Brazil,2015,Q3,0.58,0.5,25.8,83.4,0
Brazil,2015,Q4,0.59,0.5,27.1,88.3,0
Brazil,2016,Q1,0.59,0.5,26.1,86.2,1
Brazil,2016,Q2,0.58,0.5,26.0,86.3,0
Brazil,2016,Q3,0.58,0.5,25.7,87.6,0
Brazil,2016,Q4,0.58,0.5,26.2,86.3,1
Brazil,2017,Q1,0.59,0.5,27.4,86.9,0
Brazil,2017,Q2,0.59,0.5,26.9,80.7,0
Brazil,2017,Q3,0.59,0.5,26.7,80.5,0
Brazil,2017,Q4,0.58,0.5,27.4,87.5,0
Brazil,2018,Q1,0.58,0.5,25.5,80.2,0
Brazil,2018,Q2,0.59,0.5,27.0,86.8,0
Brazil,2018,Q3,0.59,0.5,27.5,84.3,0
Brazil,2018,Q4,0.59,0.5,27.1,86.9,0
Brazil,2019,Q1,0.59,0.5,26.9,86.5,0
Brazil,2019,Q2,0.58,0.5,25.8,84.3,1
Brazil,2019,Q3,0.59,0.5,26.8,84.0,0
Brazil,2019,Q4,0.58,0.5,26.3,88.9,0
Brazil,2020,Q1,0.59,0.5,25.6,86.5,0
Brazil,2020,Q2,0.58,0.5,26.4,89.7,0
Brazil,2020,Q3,0.58,0.5,27.1,87.7,0
Brazil,2020,Q4,0.58,0.5,26.8,81.3,0
Brazil,2021,Q1,0.58,0.5,26.7,88.0,0
Brazil,2021,Q2,0.59,0.5,25.8,86.9,0
Brazil,2021,Q3,0.59,0.5,26.5,80.6,0
Brazil,2021,Q4,0.59,0.5,27.1,83.1,0
Brazil,2022,Q1,0.59,0.5,25.6,83.9,0
Brazil,2022,Q2,0.58,0.5,26.1,86.9,0
Brazil,2022,Q3,0.58,0.5,25.6,84.8,0
Brazil,2022,Q4,0.59,0.5,27.5,81.4,0
Peru,2015,Q1,0.57,0.4,27.1,85.6,0
Peru,2015,Q2,0.57,0.4,26.7,80.9,0
Peru,2015,Q3,0.58,0.4,25.9,84.0,0
Peru,2015,Q4,0.57,0.4,27.1,88.0,0
Peru,2016,Q1,0.57,0.4,25.9,86.4,0
Peru,2016,Q2,0.58,0.4,27.6,80.5,0
Peru,2016,Q3,0.56,0.4,27.4,87.1,0
Peru,2016,Q4,0.57,0.4,27.3,80.8,0
Peru,2017,Q1,0.57,0.4,27.3,84.5,0
Peru,2017,Q2,0.57,0.4,27.2,80.8,0
Peru,2017,Q3,0.57,0.4,26.0,88.7,0
Peru,2017,Q4,0.56,0.4,26.4,81.8,0
Peru,2018,Q1,0.57,0.4,26.7,85.6,0
Peru,2018,Q2,0.57,0.4,27.7,89.7,0
Peru,2018,Q3,0.57,0.4,27.1,80.7,0
Peru,2018,Q4,0.57,0.4,26.6,88.7,0
Peru,2019,Q1,0.56,0.4,26.6,83.5,0
Peru,2019,Q2,0.56,0.4,25.8,88.7,0
Peru,2019,Q3,0.57,0.4,27.2,84.9,0
